0;-1.0
1;-1.0
2;45.0
3;45.0
4;-1.0
5;-1.0
6;-1.0
7;45.0
8;45.0
9;-1.0
10;-1.0
11;-1.0
12;-1.0
13;-1.0
14;-1.0
15;-1.0
16;-1.0
17;-1.0
18;-1.0
19;45.0
20;-1.0
21;-1.0
22;-1.0
23;-1.0
24;45.0
25;-1.0
26;-1.0
27;-1.0
28;45.0
29;-1.0
30;-1.0
31;-1.0
32;-1.0
33;45.0
34;45.0
35;-1.0
36;-1.0
37;45.0
38;-1.0
39;-1.0
40;-1.0
41;-1.0
42;-1.0
43;-1.0
44;45.0
45;50.0
46;45.0
47;-1.0
48;45.0
49;45.0
50;50.0
51;50.0
52;45.0
53;50.0
54;45.0
55;50.0
56;50.0
57;50.0
58;50.0
59;50.0
60;50.0
61;50.0
62;50.0
63;50.0
64;50.0
65;50.0
66;50.0
67;50.0
68;50.0
69;50.0
70;50.0
71;50.0
72;50.0
73;50.0
74;50.0
75;50.0
76;50.0
77;50.0
78;50.0
79;50.0
80;50.0
81;50.0
82;50.0
83;50.0
84;50.0
85;50.0
86;50.0
87;50.0
88;50.0
89;50.0
90;50.0
91;50.0
92;50.0
93;50.0
94;50.0
95;50.0
96;50.0
97;50.0
98;50.0
99;50.0
100;50.0
101;50.0
102;50.0
103;50.0
104;50.0
105;50.0
106;50.0
107;50.0
108;50.0
109;50.0
110;50.0
111;50.0
112;50.0
113;50.0
114;50.0
115;50.0
116;50.0
117;50.0
118;50.0
119;50.0
120;50.0
121;50.0
122;50.0
123;50.0
124;50.0
125;50.0
126;50.0
127;50.0
128;50.0
129;50.0
130;50.0
131;50.0
132;50.0
133;50.0
134;50.0
135;50.0
136;50.0
137;50.0
138;50.0
139;50.0
140;50.0
